"DATE","SNOW DP INCHES",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","36",""
"02/01/1951","36",""
"03/01/1951","52",""
"04/01/1951","41",""
"05/01/1951","31",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","118",""
"02/01/1952","118",""
"03/01/1952","126",""
"04/01/1952","149",""
"05/01/1952","101",""
"06/01/1952","29",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","65",""
"02/01/1953","65",""
"03/01/1953","60",""
"04/01/1953","69",""
"05/01/1953","55",""
"06/01/1953","29",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","45",""
"02/01/1954","45",""
"03/01/1954","58",""
"04/01/1954","67",""
"05/01/1954","34",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","63",""
"02/01/1955","63",""
"03/01/1955","74",""
"04/01/1955","59",""
"05/01/1955","58",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","113",""
"02/01/1956","113",""
"03/01/1956","124",""
"04/01/1956","95",""
"05/01/1956","82",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","38",""
"02/01/1957","38",""
"03/01/1957","56",""
"04/01/1957","63",""
"05/01/1957","51",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","66",""
"02/01/1958","66",""
"03/01/1958","94",""
"04/01/1958","128",""
"05/01/1958","101",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","38",""
"02/01/1959","38",""
"03/01/1959","67",""
"04/01/1959","44",""
"05/01/1959","11",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","32",""
"02/01/1960","32",""
"03/01/1960","54",""
"04/01/1960","49",""
"05/01/1960","25",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","27",""
"02/01/1961","27",""
"03/01/1961","32",""
"04/01/1961","51",""
"05/01/1961","36",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","40",""
"02/01/1962","40",""
"03/01/1962","99",""
"04/01/1962","99",""
"05/01/1962","49",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","0",""
"02/01/1963","0",""
"03/01/1963","12",""
"04/01/1963","47",""
"05/01/1963","65",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","--",""
"01/01/1964","69",""
"02/01/1964","69",""
"03/01/1964","46",""
"04/01/1964","56",""
"05/01/1964","29",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","96",""
"02/01/1965","96",""
"03/01/1965","81",""
"04/01/1965","78",""
"05/01/1965","87",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","--",""
"01/01/1966","64",""
"02/01/1966","64",""
"03/01/1966","73",""
"04/01/1966","57",""
"05/01/1966","28",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","--",""
"01/01/1967","101",""
"02/01/1967","101",""
"03/01/1967","76",""
"04/01/1967","119",""
"05/01/1967","138",""
"06/01/1967","69",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","--",""
"01/01/1968","33",""
"02/01/1968","33",""
"03/01/1968","51",""
"04/01/1968","56",""
"05/01/1968","25",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","--",""
"01/01/1969","136",""
"02/01/1969","136",""
"03/01/1969","162",""
"04/01/1969","138",""
"05/01/1969","110",""
"06/01/1969","--",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","--",""
"01/01/1970","63",""
"02/01/1970","63",""
"03/01/1970","80",""
"04/01/1970","61",""
"05/01/1970","58",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","71",""
"01/01/1971","71",""
"02/01/1971","67",""
"03/01/1971","73",""
"04/01/1971","78",""
"05/01/1971","65",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","--",""
"01/01/1972","72",""
"02/01/1972","72",""
"03/01/1972","68",""
"04/01/1972","43",""
"05/01/1972","41",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","32",""
"01/01/1973","32",""
"02/01/1973","71",""
"03/01/1973","92",""
"04/01/1973","93",""
"05/01/1973","73",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","80",""
"01/01/1974","80",""
"02/01/1974","63",""
"03/01/1974","75",""
"04/01/1974","80",""
"05/01/1974","84",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","--",""
"10/01/1974","--",""
"11/01/1974","--",""
"12/01/1974","33",""
"01/01/1975","33",""
"02/01/1975","43",""
"03/01/1975","83",""
"04/01/1975","101",""
"05/01/1975","105",""
"06/01/1975","57",""
"07/01/1975","--",""
"08/01/1975","--",""
"09/01/1975","--",""
"10/01/1975","--",""
"11/01/1975","--",""
"12/01/1975","--",""
"01/01/1976","--",""
"02/01/1976","16",""
"03/01/1976","16",""
"04/01/1976","20",""
"05/01/1976","4",""
"06/01/1976","--",""
"07/01/1976","--",""
"08/01/1976","--",""
"09/01/1976","--",""
"10/01/1976","--",""
"11/01/1976","--",""
"12/01/1976","25",""
"01/01/1977","25",""
"02/01/1977","13",""
"03/01/1977","18",""
"04/01/1977","22",""
"05/01/1977","0",""
"06/01/1977","0",""
"07/01/1977","--",""
"08/01/1977","--",""
"09/01/1977","--",""
"10/01/1977","--",""
"11/01/1977","--",""
"12/01/1977","44",""
"01/01/1978","44",""
"02/01/1978","80",""
"03/01/1978","99",""
"04/01/1978","88",""
"05/01/1978","87",""
"06/01/1978","--",""
"07/01/1978","--",""
"08/01/1978","--",""
"09/01/1978","--",""
"10/01/1978","--",""
"11/01/1978","--",""
"12/01/1978","32",""
"01/01/1979","32",""
"02/01/1979","50",""
"03/01/1979","88",""
"04/01/1979","81",""
"05/01/1979","60",""
"06/01/1979","--",""
"07/01/1979","--",""
"08/01/1979","--",""
"09/01/1979","--",""
"10/01/1979","--",""
"11/01/1979","--",""
"12/01/1979","47",""
"01/01/1980","47",""
"02/01/1980","58",""
"03/01/1980","104",""
"04/01/1980","99",""
"05/01/1980","69",""
"06/01/1980","21",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","7",""
"01/01/1981","7",""
"02/01/1981","51",""
"03/01/1981","44",""
"04/01/1981","63",""
"05/01/1981","25",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","90",""
"01/01/1982","90",""
"02/01/1982","84",""
"03/01/1982","72",""
"04/01/1982","139",""
"05/01/1982","98",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","73",""
"01/01/1983","73",""
"02/01/1983","102",""
"03/01/1983","119",""
"04/01/1983","160",""
"05/01/1983","154",""
"06/01/1983","87",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","71",""
"01/01/1984","71",""
"02/01/1984","67",""
"03/01/1984","88",""
"04/01/1984","75",""
"05/01/1984","64",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","42",""
"01/01/1985","42",""
"02/01/1985","38",""
"03/01/1985","49",""
"04/01/1985","84",""
"05/01/1985","21",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","38",""
"01/01/1986","38",""
"02/01/1986","44",""
"03/01/1986","97",""
"04/01/1986","94",""
"05/01/1986","56",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","9",""
"01/01/1987","9",""
"02/01/1987","22",""
"03/01/1987","48",""
"04/01/1987","52",""
"05/01/1987","0",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","51",""
"01/01/1988","51",""
"02/01/1988","50",""
"03/01/1988","45",""
"04/01/1988","16",""
"05/01/1988","0",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","51",""
"01/01/1989","51",""
"02/01/1989","46",""
"03/01/1989","49",""
"04/01/1989","68",""
"05/01/1989","40",""
"06/01/1989","0",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","22",""
"01/01/1990","22",""
"02/01/1990","31",""
"03/01/1990","49",""
"04/01/1990","39",""
"05/01/1990","0",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","15",""
"01/01/1991","15",""
"02/01/1991","14",""
"03/01/1991","30",""
"04/01/1991","74",""
"05/01/1991","34",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","28",""
"01/01/1992","28",""
"02/01/1992","29",""
"03/01/1992","48",""
"04/01/1992","40",""
"05/01/1992","0",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","78",""
"01/01/1993","78",""
"02/01/1993","97",""
"03/01/1993","125",""
"04/01/1993","96",""
"05/01/1993","71",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","25",""
"01/01/1994","25",""
"02/01/1994","41",""
"03/01/1994","67",""
"04/01/1994","30",""
"05/01/1994","7",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","52",""
"01/01/1995","52",""
"02/01/1995","92",""
"03/01/1995","79",""
"04/01/1995","130",""
"05/01/1995","109",""
"06/01/1995","78",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","20",""
"01/01/1996","20",""
"02/01/1996","67",""
"03/01/1996","95",""
"04/01/1996","77",""
"05/01/1996","50",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","--",""
"01/01/1997","--",""
"02/01/1997","100",""
"03/01/1997","90",""
"04/01/1997","62",""
"05/01/1997","29",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
