"DATE","SNOW DP INCHES",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","54",""
"02/01/1951","54",""
"03/01/1951","78",""
"04/01/1951","63",""
"05/01/1951","46",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","160",""
"02/01/1952","160",""
"03/01/1952","169",""
"04/01/1952","167",""
"05/01/1952","116",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","88",""
"02/01/1953","88",""
"03/01/1953","75",""
"04/01/1953","81",""
"05/01/1953","61",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","25",""
"01/01/1954","25",""
"02/01/1954","62",""
"03/01/1954","70",""
"04/01/1954","83",""
"05/01/1954","28",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","72",""
"02/01/1955","72",""
"03/01/1955","88",""
"04/01/1955","66",""
"05/01/1955","58",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","135",""
"02/01/1956","135",""
"03/01/1956","151",""
"04/01/1956","110",""
"05/01/1956","78",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","58",""
"02/01/1957","58",""
"03/01/1957","68",""
"04/01/1957","87",""
"05/01/1957","44",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","75",""
"02/01/1958","75",""
"03/01/1958","97",""
"04/01/1958","137",""
"05/01/1958","102",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","44",""
"02/01/1959","44",""
"03/01/1959","75",""
"04/01/1959","58",""
"05/01/1959","0",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","44",""
"02/01/1960","44",""
"03/01/1960","58",""
"04/01/1960","55",""
"05/01/1960","18",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","32",""
"02/01/1961","32",""
"03/01/1961","42",""
"04/01/1961","64",""
"05/01/1961","11",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","47",""
"02/01/1962","47",""
"03/01/1962","119",""
"04/01/1962","111",""
"05/01/1962","55",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","18",""
"02/01/1963","18",""
"03/01/1963","13",""
"04/01/1963","50",""
"05/01/1963","48",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","26",""
"01/01/1964","26",""
"02/01/1964","69",""
"03/01/1964","65",""
"04/01/1964","58",""
"05/01/1964","20",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","102",""
"02/01/1965","102",""
"03/01/1965","104",""
"04/01/1965","100",""
"05/01/1965","75",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","--",""
"01/01/1966","81",""
"02/01/1966","81",""
"03/01/1966","96",""
"04/01/1966","67",""
"05/01/1966","4",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","--",""
"01/01/1967","110",""
"02/01/1967","110",""
"03/01/1967","84",""
"04/01/1967","106",""
"05/01/1967","145",""
"06/01/1967","81",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","34",""
"01/01/1968","34",""
"02/01/1968","65",""
"03/01/1968","52",""
"04/01/1968","58",""
"05/01/1968","14",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","61",""
"01/01/1969","61",""
"02/01/1969","140",""
"03/01/1969","187",""
"04/01/1969","152",""
"05/01/1969","110",""
"06/01/1969","25",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","46",""
"01/01/1970","46",""
"02/01/1970","75",""
"03/01/1970","78",""
"04/01/1970","67",""
"05/01/1970","60",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","87",""
"01/01/1971","87",""
"02/01/1971","76",""
"03/01/1971","98",""
"04/01/1971","95",""
"05/01/1971","75",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","84",""
"01/01/1972","84",""
"02/01/1972","85",""
"03/01/1972","87",""
"04/01/1972","57",""
"05/01/1972","46",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","34",""
"01/01/1973","34",""
"02/01/1973","80",""
"03/01/1973","97",""
"04/01/1973","99",""
"05/01/1973","47",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","50",""
"01/01/1974","50",""
"02/01/1974","60",""
"03/01/1974","77",""
"04/01/1974","86",""
"05/01/1974","93",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","--",""
"10/01/1974","--",""
"11/01/1974","--",""
"12/01/1974","27",""
"01/01/1975","27",""
"02/01/1975","39",""
"03/01/1975","84",""
"04/01/1975","117",""
"05/01/1975","108",""
"06/01/1975","46",""
"07/01/1975","--",""
"08/01/1975","--",""
"09/01/1975","--",""
"10/01/1975","--",""
"11/01/1975","--",""
"12/01/1975","16",""
"01/01/1976","16",""
"02/01/1976","20",""
"03/01/1976","35",""
"04/01/1976","39",""
"05/01/1976","13",""
"06/01/1976","--",""
"07/01/1976","--",""
"08/01/1976","--",""
"09/01/1976","--",""
"10/01/1976","--",""
"11/01/1976","--",""
"12/01/1976","30",""
"01/01/1977","30",""
"02/01/1977","16",""
"03/01/1977","30",""
"04/01/1977","34",""
"05/01/1977","--",""
"06/01/1977","--",""
"07/01/1977","--",""
"08/01/1977","--",""
"09/01/1977","--",""
"10/01/1977","--",""
"11/01/1977","--",""
"12/01/1977","42",""
"01/01/1978","42",""
"02/01/1978","73",""
"03/01/1978","88",""
"04/01/1978","82",""
"05/01/1978","79",""
"06/01/1978","--",""
"07/01/1978","--",""
"08/01/1978","--",""
"09/01/1978","--",""
"10/01/1978","--",""
"11/01/1978","--",""
"12/01/1978","35",""
"01/01/1979","35",""
"02/01/1979","46",""
"03/01/1979","86",""
"04/01/1979","79",""
"05/01/1979","46",""
"06/01/1979","--",""
"07/01/1979","--",""
"08/01/1979","--",""
"09/01/1979","--",""
"10/01/1979","--",""
"11/01/1979","--",""
"12/01/1979","44",""
"01/01/1980","44",""
"02/01/1980","66",""
"03/01/1980","104",""
"04/01/1980","100",""
"05/01/1980","64",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","10",""
"01/01/1981","10",""
"02/01/1981","63",""
"03/01/1981","47",""
"04/01/1981","59",""
"05/01/1981","14",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","--",""
"01/01/1982","89",""
"02/01/1982","89",""
"03/01/1982","67",""
"04/01/1982","136",""
"05/01/1982","80",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","72",""
"01/01/1983","72",""
"02/01/1983","103",""
"03/01/1983","118",""
"04/01/1983","153",""
"05/01/1983","151",""
"06/01/1983","70",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","70",""
"01/01/1984","70",""
"02/01/1984","68",""
"03/01/1984","95",""
"04/01/1984","84",""
"05/01/1984","73",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","44",""
"01/01/1985","44",""
"02/01/1985","48",""
"03/01/1985","57",""
"04/01/1985","98",""
"05/01/1985","35",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","39",""
"01/01/1986","39",""
"02/01/1986","46",""
"03/01/1986","101",""
"04/01/1986","94",""
"05/01/1986","53",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","7",""
"01/01/1987","7",""
"02/01/1987","34",""
"03/01/1987","50",""
"04/01/1987","51",""
"05/01/1987","2",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","33",""
"01/01/1988","33",""
"02/01/1988","49",""
"03/01/1988","40",""
"04/01/1988","22",""
"05/01/1988","2",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","59",""
"01/01/1989","59",""
"02/01/1989","50",""
"03/01/1989","57",""
"04/01/1989","69",""
"05/01/1989","43",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","17",""
"01/01/1990","17",""
"02/01/1990","48",""
"03/01/1990","51",""
"04/01/1990","40",""
"05/01/1990","4",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","17",""
"01/01/1991","17",""
"02/01/1991","16",""
"03/01/1991","13",""
"04/01/1991","77",""
"05/01/1991","40",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","--",""
"01/01/1992","--",""
"02/01/1992","19",""
"03/01/1992","38",""
"04/01/1992","30",""
"05/01/1992","0",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","77",""
"01/01/1993","77",""
"02/01/1993","92",""
"03/01/1993","114",""
"04/01/1993","97",""
"05/01/1993","70",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","22",""
"01/01/1994","22",""
"02/01/1994","28",""
"03/01/1994","62",""
"04/01/1994","35",""
"05/01/1994","8",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","52",""
"01/01/1995","52",""
"02/01/1995","81",""
"03/01/1995","70",""
"04/01/1995","114",""
"05/01/1995","102",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","15",""
"01/01/1996","15",""
"02/01/1996","68",""
"03/01/1996","93",""
"04/01/1996","98",""
"05/01/1996","49",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","54",""
"01/01/1997","54",""
"02/01/1997","99",""
"03/01/1997","89",""
"04/01/1997","62",""
"05/01/1997","27",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
