"DATE","SNOW DP INCHES",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","--",""
"03/01/1951","5",""
"04/01/1951","5",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","77",""
"02/01/1952","77",""
"03/01/1952","75",""
"04/01/1952","85",""
"05/01/1952","25",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","--",""
"03/01/1953","26",""
"04/01/1953","26",""
"05/01/1953","--",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","21",""
"02/01/1954","21",""
"03/01/1954","28",""
"04/01/1954","23",""
"05/01/1954","--",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","34",""
"02/01/1955","34",""
"03/01/1955","36",""
"04/01/1955","22",""
"05/01/1955","--",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","--",""
"02/01/1956","56",""
"03/01/1956","56",""
"04/01/1956","25",""
"05/01/1956","--",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","27",""
"02/01/1957","27",""
"03/01/1957","24",""
"04/01/1957","23",""
"05/01/1957","--",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","--",""
"02/01/1958","39",""
"03/01/1958","39",""
"04/01/1958","43",""
"05/01/1958","26",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","--",""
"02/01/1959","28",""
"03/01/1959","28",""
"04/01/1959","6",""
"05/01/1959","--",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","16",""
"02/01/1960","16",""
"03/01/1960","25",""
"04/01/1960","8",""
"05/01/1960","--",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","10",""
"02/01/1961","10",""
"03/01/1961","10",""
"04/01/1961","14",""
"05/01/1961","--",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","16",""
"02/01/1962","16",""
"03/01/1962","54",""
"04/01/1962","54",""
"05/01/1962","--",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","0",""
"02/01/1963","0",""
"03/01/1963","0",""
"04/01/1963","23",""
"05/01/1963","7",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","--",""
"01/01/1964","30",""
"02/01/1964","30",""
"03/01/1964","21",""
"04/01/1964","17",""
"05/01/1964","--",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","41",""
"02/01/1965","41",""
"03/01/1965","33",""
"04/01/1965","22",""
"05/01/1965","--",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","--",""
"01/01/1966","34",""
"02/01/1966","34",""
"03/01/1966","34",""
"04/01/1966","14",""
"05/01/1966","--",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","16",""
"01/01/1967","16",""
"02/01/1967","51",""
"03/01/1967","26",""
"04/01/1967","36",""
"05/01/1967","54",""
"06/01/1967","--",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","18",""
"01/01/1968","18",""
"02/01/1968","24",""
"03/01/1968","21",""
"04/01/1968","16",""
"05/01/1968","0",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","32",""
"01/01/1969","32",""
"02/01/1969","67",""
"03/01/1969","71",""
"04/01/1969","71",""
"05/01/1969","28",""
"06/01/1969","--",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","13",""
"01/01/1970","13",""
"02/01/1970","24",""
"03/01/1970","25",""
"04/01/1970","9",""
"05/01/1970","7",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","43",""
"01/01/1971","43",""
"02/01/1971","41",""
"03/01/1971","36",""
"04/01/1971","33",""
"05/01/1971","9",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","45",""
"01/01/1972","45",""
"02/01/1972","41",""
"03/01/1972","37",""
"04/01/1972","7",""
"05/01/1972","1",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","16",""
"01/01/1973","16",""
"02/01/1973","31",""
"03/01/1973","40",""
"04/01/1973","40",""
"05/01/1973","9",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","--",""
"01/01/1974","22",""
"02/01/1974","22",""
"03/01/1974","24",""
"04/01/1974","28",""
"05/01/1974","3",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","--",""
"10/01/1974","--",""
"11/01/1974","--",""
"12/01/1974","6",""
"01/01/1975","6",""
"02/01/1975","15",""
"03/01/1975","40",""
"04/01/1975","51",""
"05/01/1975","49",""
"06/01/1975","--",""
"07/01/1975","--",""
"08/01/1975","--",""
"09/01/1975","--",""
"10/01/1975","--",""
"11/01/1975","--",""
"12/01/1975","4",""
"01/01/1976","4",""
"02/01/1976","6",""
"03/01/1976","7",""
"04/01/1976","7",""
"05/01/1976","0",""
"06/01/1976","--",""
"07/01/1976","--",""
"08/01/1976","--",""
"09/01/1976","--",""
"10/01/1976","--",""
"11/01/1976","--",""
"12/01/1976","0",""
"01/01/1977","0",""
"02/01/1977","8",""
"03/01/1977","11",""
"04/01/1977","8",""
"05/01/1977","0",""
"06/01/1977","--",""
"07/01/1977","--",""
"08/01/1977","--",""
"09/01/1977","--",""
"10/01/1977","--",""
"11/01/1977","--",""
"12/01/1977","15",""
"01/01/1978","15",""
"02/01/1978","34",""
"03/01/1978","38",""
"04/01/1978","27",""
"05/01/1978","12",""
"06/01/1978","--",""
"07/01/1978","--",""
"08/01/1978","--",""
"09/01/1978","--",""
"10/01/1978","--",""
"11/01/1978","--",""
"12/01/1978","19",""
"01/01/1979","19",""
"02/01/1979","25",""
"03/01/1979","42",""
"04/01/1979","29",""
"05/01/1979","7",""
"06/01/1979","--",""
"07/01/1979","--",""
"08/01/1979","--",""
"09/01/1979","--",""
"10/01/1979","--",""
"11/01/1979","--",""
"12/01/1979","--",""
"01/01/1980","20",""
"02/01/1980","20",""
"03/01/1980","32",""
"04/01/1980","32",""
"05/01/1980","1",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","--",""
"01/01/1981","21",""
"02/01/1981","21",""
"03/01/1981","11",""
"04/01/1981","10",""
"05/01/1981","0",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","--",""
"01/01/1982","38",""
"02/01/1982","38",""
"03/01/1982","20",""
"04/01/1982","47",""
"05/01/1982","6",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","--",""
"01/01/1983","43",""
"02/01/1983","43",""
"03/01/1983","58",""
"04/01/1983","66",""
"05/01/1983","62",""
"06/01/1983","--",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","--",""
"01/01/1984","21",""
"02/01/1984","21",""
"03/01/1984","26",""
"04/01/1984","13",""
"05/01/1984","15",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","--",""
"01/01/1985","24",""
"02/01/1985","24",""
"03/01/1985","22",""
"04/01/1985","31",""
"05/01/1985","--",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","--",""
"01/01/1986","14",""
"02/01/1986","14",""
"03/01/1986","37",""
"04/01/1986","22",""
"05/01/1986","--",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","--",""
"01/01/1987","15",""
"02/01/1987","15",""
"03/01/1987","18",""
"04/01/1987","9",""
"05/01/1987","--",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","--",""
"01/01/1988","21",""
"02/01/1988","21",""
"03/01/1988","10",""
"04/01/1988","0",""
"05/01/1988","--",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","--",""
"01/01/1989","22",""
"02/01/1989","22",""
"03/01/1989","24",""
"04/01/1989","17",""
"05/01/1989","--",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","--",""
"01/01/1990","--",""
"02/01/1990","21",""
"03/01/1990","--",""
"04/01/1990","9",""
"05/01/1990","--",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","--",""
"01/01/1991","--",""
"02/01/1991","7",""
"03/01/1991","3",""
"04/01/1991","29",""
"05/01/1991","--",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","--",""
"01/01/1992","--",""
"02/01/1992","13",""
"03/01/1992","18",""
"04/01/1992","--",""
"05/01/1992","--",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","--",""
"01/01/1993","--",""
"02/01/1993","58",""
"03/01/1993","70",""
"04/01/1993","41",""
"05/01/1993","--",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","--",""
"01/01/1994","--",""
"02/01/1994","12",""
"03/01/1994","24",""
"04/01/1994","6",""
"05/01/1994","--",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","--",""
"01/01/1995","--",""
"02/01/1995","44",""
"03/01/1995","27",""
"04/01/1995","44",""
"05/01/1995","--",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","--",""
"01/01/1996","--",""
"02/01/1996","38",""
"03/01/1996","45",""
"04/01/1996","37",""
"05/01/1996","--",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","--",""
"01/01/1997","--",""
"02/01/1997","31",""
"03/01/1997","26",""
"04/01/1997","11",""
"05/01/1997","--",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
