"DATE","SNOW DP INCHES",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","57",""
"03/01/1951","57",""
"04/01/1951","39",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","134",""
"02/01/1952","134",""
"03/01/1952","138",""
"04/01/1952","147",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","73",""
"02/01/1953","73",""
"03/01/1953","71",""
"04/01/1953","67",""
"05/01/1953","38",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","49",""
"02/01/1954","49",""
"03/01/1954","55",""
"04/01/1954","67",""
"05/01/1954","11",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","66",""
"02/01/1955","66",""
"03/01/1955","75",""
"04/01/1955","54",""
"05/01/1955","38",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","97",""
"02/01/1956","97",""
"03/01/1956","118",""
"04/01/1956","79",""
"05/01/1956","--",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","44",""
"02/01/1957","44",""
"03/01/1957","47",""
"04/01/1957","61",""
"05/01/1957","29",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","65",""
"02/01/1958","65",""
"03/01/1958","74",""
"04/01/1958","97",""
"05/01/1958","79",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","35",""
"02/01/1959","35",""
"03/01/1959","61",""
"04/01/1959","41",""
"05/01/1959","--",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","37",""
"02/01/1960","37",""
"03/01/1960","51",""
"04/01/1960","40",""
"05/01/1960","0",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","24",""
"02/01/1961","24",""
"03/01/1961","29",""
"04/01/1961","47",""
"05/01/1961","6",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","41",""
"02/01/1962","41",""
"03/01/1962","102",""
"04/01/1962","98",""
"05/01/1962","38",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","0",""
"02/01/1963","0",""
"03/01/1963","0",""
"04/01/1963","40",""
"05/01/1963","42",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","23",""
"01/01/1964","23",""
"02/01/1964","55",""
"03/01/1964","52",""
"04/01/1964","47",""
"05/01/1964","0",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","82",""
"02/01/1965","82",""
"03/01/1965","79",""
"04/01/1965","75",""
"05/01/1965","52",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","74",""
"01/01/1966","74",""
"02/01/1966","71",""
"03/01/1966","73",""
"04/01/1966","46",""
"05/01/1966","0",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","37",""
"01/01/1967","37",""
"02/01/1967","95",""
"03/01/1967","65",""
"04/01/1967","105",""
"05/01/1967","120",""
"06/01/1967","45",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","29",""
"01/01/1968","29",""
"02/01/1968","72",""
"03/01/1968","41",""
"04/01/1968","45",""
"05/01/1968","0",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","59",""
"01/01/1969","59",""
"02/01/1969","128",""
"03/01/1969","161",""
"04/01/1969","114",""
"05/01/1969","90",""
"06/01/1969","--",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","29",""
"01/01/1970","29",""
"02/01/1970","54",""
"03/01/1970","60",""
"04/01/1970","42",""
"05/01/1970","29",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","76",""
"01/01/1971","76",""
"02/01/1971","67",""
"03/01/1971","60",""
"04/01/1971","70",""
"05/01/1971","41",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","79",""
"01/01/1972","79",""
"02/01/1972","87",""
"03/01/1972","73",""
"04/01/1972","33",""
"05/01/1972","16",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","32",""
"01/01/1973","32",""
"02/01/1973","77",""
"03/01/1973","88",""
"04/01/1973","86",""
"05/01/1973","40",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","48",""
"01/01/1974","48",""
"02/01/1974","49",""
"03/01/1974","65",""
"04/01/1974","62",""
"05/01/1974","50",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","--",""
"10/01/1974","--",""
"11/01/1974","--",""
"12/01/1974","31",""
"01/01/1975","31",""
"02/01/1975","41",""
"03/01/1975","89",""
"04/01/1975","112",""
"05/01/1975","103",""
"06/01/1975","30",""
"07/01/1975","--",""
"08/01/1975","--",""
"09/01/1975","--",""
"10/01/1975","--",""
"11/01/1975","--",""
"12/01/1975","9",""
"01/01/1976","9",""
"02/01/1976","15",""
"03/01/1976","26",""
"04/01/1976","25",""
"05/01/1976","0",""
"06/01/1976","--",""
"07/01/1976","--",""
"08/01/1976","--",""
"09/01/1976","--",""
"10/01/1976","--",""
"11/01/1976","--",""
"12/01/1976","25",""
"01/01/1977","25",""
"02/01/1977","17",""
"03/01/1977","24",""
"04/01/1977","27",""
"05/01/1977","3",""
"06/01/1977","--",""
"07/01/1977","--",""
"08/01/1977","--",""
"09/01/1977","--",""
"10/01/1977","--",""
"11/01/1977","--",""
"12/01/1977","37",""
"01/01/1978","37",""
"02/01/1978","69",""
"03/01/1978","82",""
"04/01/1978","73",""
"05/01/1978","70",""
"06/01/1978","--",""
"07/01/1978","--",""
"08/01/1978","--",""
"09/01/1978","--",""
"10/01/1978","--",""
"11/01/1978","--",""
"12/01/1978","35",""
"01/01/1979","35",""
"02/01/1979","50",""
"03/01/1979","90",""
"04/01/1979","63",""
"05/01/1979","34",""
"06/01/1979","--",""
"07/01/1979","--",""
"08/01/1979","--",""
"09/01/1979","--",""
"10/01/1979","--",""
"11/01/1979","--",""
"12/01/1979","42",""
"01/01/1980","42",""
"02/01/1980","55",""
"03/01/1980","82",""
"04/01/1980","86",""
"05/01/1980","32",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","9",""
"01/01/1981","9",""
"02/01/1981","58",""
"03/01/1981","29",""
"04/01/1981","46",""
"05/01/1981","0",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","84",""
"01/01/1982","84",""
"02/01/1982","73",""
"03/01/1982","49",""
"04/01/1982","113",""
"05/01/1982","54",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","70",""
"01/01/1983","70",""
"02/01/1983","108",""
"03/01/1983","142",""
"04/01/1983","151",""
"05/01/1983","144",""
"06/01/1983","53",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","56",""
"01/01/1984","56",""
"02/01/1984","52",""
"03/01/1984","72",""
"04/01/1984","55",""
"05/01/1984","30",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","41",""
"01/01/1985","41",""
"02/01/1985","45",""
"03/01/1985","46",""
"04/01/1985","62",""
"05/01/1985","0",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","42",""
"01/01/1986","42",""
"02/01/1986","43",""
"03/01/1986","81",""
"04/01/1986","73",""
"05/01/1986","28",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","5",""
"01/01/1987","5",""
"02/01/1987","34",""
"03/01/1987","41",""
"04/01/1987","35",""
"05/01/1987","0",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","29",""
"01/01/1988","29",""
"02/01/1988","45",""
"03/01/1988","28",""
"04/01/1988","1",""
"05/01/1988","0",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","63",""
"01/01/1989","63",""
"02/01/1989","49",""
"03/01/1989","53",""
"04/01/1989","59",""
"05/01/1989","7",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","18",""
"01/01/1990","18",""
"02/01/1990","31",""
"03/01/1990","50",""
"04/01/1990","29",""
"05/01/1990","4",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","21",""
"01/01/1991","21",""
"02/01/1991","17",""
"03/01/1991","12",""
"04/01/1991","77",""
"05/01/1991","20",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","22",""
"01/01/1992","22",""
"02/01/1992","24",""
"03/01/1992","36",""
"04/01/1992","22",""
"05/01/1992","0",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","79",""
"01/01/1993","79",""
"02/01/1993","89",""
"03/01/1993","126",""
"04/01/1993","83",""
"05/01/1993","49",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","27",""
"01/01/1994","27",""
"02/01/1994","34",""
"03/01/1994","69",""
"04/01/1994","22",""
"05/01/1994","0",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","54",""
"01/01/1995","54",""
"02/01/1995","86",""
"03/01/1995","69",""
"04/01/1995","106",""
"05/01/1995","87",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","16",""
"01/01/1996","16",""
"02/01/1996","100",""
"03/01/1996","78",""
"04/01/1996","66",""
"05/01/1996","25",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","41",""
"01/01/1997","41",""
"02/01/1997","81",""
"03/01/1997","70",""
"04/01/1997","42",""
"05/01/1997","0",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
