"DATE","SNOW DP INCHES",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","53",""
"03/01/1951","53",""
"04/01/1951","41",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","136",""
"02/01/1952","136",""
"03/01/1952","146",""
"04/01/1952","151",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","77",""
"03/01/1953","77",""
"04/01/1953","78",""
"05/01/1953","52",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","49",""
"02/01/1954","49",""
"03/01/1954","64",""
"04/01/1954","75",""
"05/01/1954","0",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","66",""
"02/01/1955","66",""
"03/01/1955","76",""
"04/01/1955","57",""
"05/01/1955","32",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","91",""
"02/01/1956","91",""
"03/01/1956","114",""
"04/01/1956","79",""
"05/01/1956","--",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","46",""
"02/01/1957","46",""
"03/01/1957","52",""
"04/01/1957","61",""
"05/01/1957","38",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","61",""
"02/01/1958","61",""
"03/01/1958","72",""
"04/01/1958","98",""
"05/01/1958","86",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","30",""
"02/01/1959","30",""
"03/01/1959","62",""
"04/01/1959","50",""
"05/01/1959","--",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","34",""
"02/01/1960","34",""
"03/01/1960","49",""
"04/01/1960","46",""
"05/01/1960","0",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","--",""
"02/01/1961","--",""
"03/01/1961","42",""
"04/01/1961","42",""
"05/01/1961","13",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","40",""
"02/01/1962","40",""
"03/01/1962","88",""
"04/01/1962","94",""
"05/01/1962","44",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","0",""
"02/01/1963","0",""
"03/01/1963","0",""
"04/01/1963","35",""
"05/01/1963","39",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","--",""
"01/01/1964","53",""
"02/01/1964","53",""
"03/01/1964","49",""
"04/01/1964","44",""
"05/01/1964","0",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","77",""
"02/01/1965","77",""
"03/01/1965","74",""
"04/01/1965","74",""
"05/01/1965","52",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","74",""
"01/01/1966","74",""
"02/01/1966","74",""
"03/01/1966","74",""
"04/01/1966","51",""
"05/01/1966","7",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","36",""
"01/01/1967","36",""
"02/01/1967","92",""
"03/01/1967","66",""
"04/01/1967","107",""
"05/01/1967","126",""
"06/01/1967","50",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","31",""
"01/01/1968","31",""
"02/01/1968","74",""
"03/01/1968","42",""
"04/01/1968","49",""
"05/01/1968","0",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","60",""
"01/01/1969","60",""
"02/01/1969","122",""
"03/01/1969","161",""
"04/01/1969","124",""
"05/01/1969","96",""
"06/01/1969","--",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","28",""
"01/01/1970","28",""
"02/01/1970","53",""
"03/01/1970","59",""
"04/01/1970","51",""
"05/01/1970","42",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","80",""
"01/01/1971","80",""
"02/01/1971","74",""
"03/01/1971","68",""
"04/01/1971","82",""
"05/01/1971","58",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","79",""
"01/01/1972","79",""
"02/01/1972","88",""
"03/01/1972","76",""
"04/01/1972","47",""
"05/01/1972","32",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","28",""
"01/01/1973","28",""
"02/01/1973","78",""
"03/01/1973","92",""
"04/01/1973","92",""
"05/01/1973","52",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","48",""
"01/01/1974","48",""
"02/01/1974","47",""
"03/01/1974","64",""
"04/01/1974","63",""
"05/01/1974","59",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","--",""
"10/01/1974","--",""
"11/01/1974","--",""
"12/01/1974","26",""
"01/01/1975","26",""
"02/01/1975","38",""
"03/01/1975","86",""
"04/01/1975","111",""
"05/01/1975","104",""
"06/01/1975","42",""
"07/01/1975","--",""
"08/01/1975","--",""
"09/01/1975","--",""
"10/01/1975","--",""
"11/01/1975","--",""
"12/01/1975","11",""
"01/01/1976","11",""
"02/01/1976","19",""
"03/01/1976","31",""
"04/01/1976","32",""
"05/01/1976","7",""
"06/01/1976","--",""
"07/01/1976","--",""
"08/01/1976","--",""
"09/01/1976","--",""
"10/01/1976","--",""
"11/01/1976","--",""
"12/01/1976","30",""
"01/01/1977","30",""
"02/01/1977","17",""
"03/01/1977","24",""
"04/01/1977","30",""
"05/01/1977","4",""
"06/01/1977","--",""
"07/01/1977","--",""
"08/01/1977","--",""
"09/01/1977","--",""
"10/01/1977","--",""
"11/01/1977","--",""
"12/01/1977","37",""
"01/01/1978","37",""
"02/01/1978","68",""
"03/01/1978","82",""
"04/01/1978","75",""
"05/01/1978","76",""
"06/01/1978","--",""
"07/01/1978","--",""
"08/01/1978","--",""
"09/01/1978","--",""
"10/01/1978","--",""
"11/01/1978","--",""
"12/01/1978","36",""
"01/01/1979","36",""
"02/01/1979","48",""
"03/01/1979","93",""
"04/01/1979","70",""
"05/01/1979","43",""
"06/01/1979","--",""
"07/01/1979","--",""
"08/01/1979","--",""
"09/01/1979","--",""
"10/01/1979","--",""
"11/01/1979","--",""
"12/01/1979","42",""
"01/01/1980","42",""
"02/01/1980","57",""
"03/01/1980","80",""
"04/01/1980","81",""
"05/01/1980","43",""
"06/01/1980","--",""
"07/01/1980","--",""
"08/01/1980","--",""
"09/01/1980","--",""
"10/01/1980","--",""
"11/01/1980","--",""
"12/01/1980","9",""
"01/01/1981","9",""
"02/01/1981","63",""
"03/01/1981","38",""
"04/01/1981","56",""
"05/01/1981","10",""
"06/01/1981","--",""
"07/01/1981","--",""
"08/01/1981","--",""
"09/01/1981","--",""
"10/01/1981","--",""
"11/01/1981","--",""
"12/01/1981","78",""
"01/01/1982","78",""
"02/01/1982","72",""
"03/01/1982","48",""
"04/01/1982","86",""
"05/01/1982","60",""
"06/01/1982","--",""
"07/01/1982","--",""
"08/01/1982","--",""
"09/01/1982","--",""
"10/01/1982","--",""
"11/01/1982","--",""
"12/01/1982","68",""
"01/01/1983","68",""
"02/01/1983","105",""
"03/01/1983","134",""
"04/01/1983","151",""
"05/01/1983","144",""
"06/01/1983","71",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","49",""
"01/01/1984","49",""
"02/01/1984","46",""
"03/01/1984","64",""
"04/01/1984","48",""
"05/01/1984","30",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","42",""
"01/01/1985","42",""
"02/01/1985","52",""
"03/01/1985","52",""
"04/01/1985","68",""
"05/01/1985","18",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","39",""
"01/01/1986","39",""
"02/01/1986","43",""
"03/01/1986","77",""
"04/01/1986","71",""
"05/01/1986","34",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","8",""
"01/01/1987","8",""
"02/01/1987","37",""
"03/01/1987","41",""
"04/01/1987","41",""
"05/01/1987","0",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","34",""
"01/01/1988","34",""
"02/01/1988","46",""
"03/01/1988","32",""
"04/01/1988","11",""
"05/01/1988","0",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","22",""
"01/01/1989","22",""
"02/01/1989","49",""
"03/01/1989","54",""
"04/01/1989","65",""
"05/01/1989","35",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","22",""
"01/01/1990","22",""
"02/01/1990","36",""
"03/01/1990","58",""
"04/01/1990","44",""
"05/01/1990","1",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","21",""
"01/01/1991","21",""
"02/01/1991","20",""
"03/01/1991","18",""
"04/01/1991","83",""
"05/01/1991","36",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","24",""
"01/01/1992","24",""
"02/01/1992","27",""
"03/01/1992","42",""
"04/01/1992","33",""
"05/01/1992","0",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","90",""
"01/01/1993","90",""
"02/01/1993","89",""
"03/01/1993","130",""
"04/01/1993","91",""
"05/01/1993","70",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","27",""
"01/01/1994","27",""
"02/01/1994","38",""
"03/01/1994","75",""
"04/01/1994","34",""
"05/01/1994","4",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","57",""
"01/01/1995","57",""
"02/01/1995","89",""
"03/01/1995","74",""
"04/01/1995","108",""
"05/01/1995","96",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","15",""
"01/01/1996","15",""
"02/01/1996","76",""
"03/01/1996","87",""
"04/01/1996","73",""
"05/01/1996","41",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","42",""
"01/01/1997","42",""
"02/01/1997","84",""
"03/01/1997","73",""
"04/01/1997","49",""
"05/01/1997","7",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
